node_id,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,
388,390,391, ,Through,EBT,0,
388,390,708, ,Right,EBR,0,
388,390,802, ,Left,EBL,0,
388,391,390, ,Through,WBT,0,
388,391,708, ,Left,WBL,0,
388,391,802, ,Right,WBR,0,
388,708,390, ,Left,NBL,0,
388,708,391, ,Right,NBR,0,
388,708,802, ,Through,NBT,0,
388,802,390, ,Right,SBR,0,
388,802,391, ,Left,SBL,0,
388,802,708, ,Through,SBT,0,
389,390,801, ,Right,NBR,0,
389,390,914, ,Through,NBT,0,
389,801,390, ,Left,WBL,0,
389,801,914, ,Through,WBT,0,
389,914,390, ,Through,SET,0,
389,914,801, ,Through,SET,0,
390,388,389, ,Right,NWR,0,
390,388,925, ,Through,NWT,0,
390,389,388, ,Left,SBL,0,
390,389,925, ,Right,SBR,0,
390,925,388, ,Through,EBT,0,
390,925,389, ,Left,EBL,0,
391,388,392, ,Through,EBT,0,
391,388,709, ,Left,EBL,0,
391,388,715, ,Right,EBR,0,
391,392,388, ,Through,WBT,0,
391,392,709, ,Right,WBR,0,
391,392,715, ,Left,WBL,0,
391,709,388, ,Right,SWR,0,
391,709,392, ,Left,SWL,0,
391,709,715, ,Through,SWT,0,
391,715,388, ,Left,NBL,0,
391,715,392, ,Right,NBR,0,
391,715,709, ,Through,NBT,0,
392,391,393, ,Through,SET,0,
392,391,713, ,Left,SEL,0,
392,391,717, ,Right,SER,0,
392,393,391, ,Through,WBT,0,
392,393,713, ,Right,WBR,0,
392,393,717, ,Left,WBL,0,
392,713,391, ,Right,SWR,0,
392,713,393, ,Left,SWL,0,
392,713,717, ,Through,SWT,0,
392,717,391, ,Left,NBL,0,
392,717,393, ,Right,NBR,0,
392,717,713, ,Through,NBT,0,
393,392,394, ,Through,EBT,0,
393,392,712, ,Left,EBL,0,
393,392,716, ,Right,EBR,0,
393,394,392, ,Through,WBT,0,
393,394,712, ,Right,WBR,0,
393,394,716, ,Left,WBL,0,
393,712,392, ,Right,SWR,0,
