from_node_id,to_node_id,total_link_volume,volume_over_capacity_ratio,speed,travel_time
1,547,0.000,0.000,517980.000,0.000
2,548,0.000,0.000,51.798,1.000
3,549,0.000,0.000,51.798,1.000
4,550,0.000,0.000,51.798,1.000
5,551,0.000,0.000,51.798,1.000
6,552,0.000,0.000,51.798,1.000
7,553,0.000,0.000,51.798,1.000
8,554,0.000,0.000,51.798,1.000
9,555,0.000,0.000,51.798,1.000
10,556,0.000,0.000,51.798,1.000
11,557,0.000,0.000,51.798,1.000
12,558,0.000,0.000,51.798,1.000
13,559,0.000,0.000,51.798,1.000
14,560,0.000,0.000,51.798,1.000
15,561,0.000,0.000,51.798,1.000
16,562,0.000,0.000,51.798,1.000
17,563,0.000,0.000,51.798,1.000
18,564,0.000,0.000,51.798,1.000
19,565,0.000,0.000,51.798,1.000
20,566,0.000,0.000,51.798,1.000
21,567,0.000,0.000,51.798,1.000
22,568,0.000,0.000,51.798,1.000
23,569,0.000,0.000,51.798,1.000
24,570,0.000,0.000,51.798,1.000
25,571,0.000,0.000,51.798,1.000
26,572,0.000,0.000,51.798,1.000
27,573,0.000,0.000,51.798,1.000
28,574,0.000,0.000,51.798,1.000
29,575,0.000,0.000,51.798,1.000
30,576,0.000,0.000,51.798,1.000
31,577,0.000,0.000,51.798,1.000
32,578,0.000,0.000,51.798,1.000
33,579,0.000,0.000,51.798,1.000
34,580,0.000,0.000,51.798,1.000
35,581,0.000,0.000,51.798,1.000
36,582,0.000,0.000,51.798,1.000
37,583,0.000,0.000,51.798,1.000
38,584,0.000,0.000,51.798,1.000
39,585,0.000,0.000,51.798,1.000
40,586,0.000,0.000,51.798,1.000
41,587,0.000,0.000,51.798,1.000
42,588,0.000,0.000,51.798,1.000
43,589,0.000,0.000,51.798,1.000
44,590,0.000,0.000,51.798,1.000
45,591,0.000,0.000,51.798,1.000
46,592,0.000,0.000,51.798,1.000
47,593,0.000,0.000,51.798,1.000
48,594,0.000,0.000,51.798,1.000
49,595,0.000,0.000,51.798,1.000
50,596,0.000,0.000,51.798,1.000
51,597,0.000,0.000,51.798,1.000
52,598,0.000,0.000,51.798,1.000
53,599,0.000,0.000,51.798,1.000
54,600,0.000,0.000,51.798,1.000
55,601,0.000,0.000,51.798,1.000
56,602,0.000,0.000,51.798,1.000
57,603,0.000,0.000,51.798,1.000
58,604,0.000,0.000,51.798,1.000
59,605,0.000,0.000,51.798,1.000
60,606,0.000,0.000,51.798,1.000
61,607,0.000,0.000,51.798,1.000
62,608,0.000,0.000,51.798,1.000
63,609,0.000,0.000,51.798,1.000
64,610,0.000,0.000,51.798,1.000
65,611,0.000,0.000,51.798,1.000
66,612,0.000,0.000,51.798,1.000
67,613,0.000,0.000,51.798,1.000
68,614,0.000,0.000,51.798,1.000
69,615,0.000,0.000,51.798,1.000
70,616,0.000,0.000,51.798,1.000
71,617,0.000,0.000,51.798,1.000
72,618,0.000,0.000,51.798,1.000
73,619,0.000,0.000,51.798,1.000
74,620,0.000,0.000,51.798,1.000
75,621,0.000,0.000,51.798,1.000
76,622,0.000,0.000,51.798,1.000
77,623,0.000,0.000,51.798,1.000
78,624,0.000,0.000,51.798,1.000
79,625,0.000,0.000,51.798,1.000
80,626,0.000,0.000,51.798,1.000
81,627,0.000,0.000,51.798,1.000
82,628,0.000,0.000,51.798,1.000
83,629,0.000,0.000,51.798,1.000
84,630,0.000,0.000,51.798,1.000
85,631,0.000,0.000,51.798,1.000
86,632,0.000,0.000,51.798,1.000
87,633,0.000,0.000,51.798,1.000
88,634,0.000,0.000,51.798,1.000
89,635,0.000,0.000,51.798,1.000
90,636,0.000,0.000,51.798,1.000
91,637,0.000,0.000,51.798,1.000
92,638,0.000,0.000,51.798,1.000
93,639,0.000,0.000,51.798,1.000
94,640,0.000,0.000,51.798,1.000
95,641,0.000,0.000,51.798,1.000
96,642,0.000,0.000,51.798,1.000
97,643,0.000,0.000,51.798,1.000
98,644,0.000,0.000,51.798,1.000
99,645,0.000,0.000,51.798,1.000
100,646,0.000,0.000,51.798,1.000
101,647,0.000,0.000,51.798,1.000
102,648,0.000,0.000,51.798,1.000
103,649,0.000,0.000,51.798,1.000
104,650,0.000,0.000,51.798,1.000
105,651,0.000,0.000,51.798,1.000
106,652,0.000,0.000,51.798,1.000
107,653,0.000,0.000,51.798,1.000
108,654,0.000,0.000,51.798,1.000
109,655,0.000,0.000,51.798,1.000
110,656,0.000,0.000,51.798,1.000
111,657,0.000,0.000,51.798,1.000
112,658,0.000,0.000,51.798,1.000
113,659,0.000,0.000,51.798,1.000
114,660,0.000,0.000,51.798,1.000
115,661,0.000,0.000,51.798,1.000
116,662,0.000,0.000,51.798,1.000
117,663,0.000,0.000,51.798,1.000
118,664,0.000,0.000,51.798,1.000
119,665,0.000,0.000,51.798,1.000
120,666,0.000,0.000,51.798,1.000
121,667,0.000,0.000,51.798,1.000
122,668,0.000,0.000,51.798,1.000
123,669,0.000,0.000,51.798,1.000
124,670,0.000,0.000,51.798,1.000
125,671,0.000,0.000,51.798,1.000
126,672,0.000,0.000,51.798,1.000
127,673,0.000,0.000,51.798,1.000
128,674,0.000,0.000,51.798,1.000
129,675,0.000,0.000,51.798,1.000
130,676,0.000,0.000,51.798,1.000
131,677,0.000,0.000,51.798,1.000
